ApiRequestVO(id=40, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@bbfaef23, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=8, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@9a88b428, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=7, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@6f074bb, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=6, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@d3391262, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=5, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@5148824e, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=4, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@85c5ae5d, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=3, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@6e8dde85, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=2, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@8bcf9350, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=1, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@79d69b2a, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=40, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@f6e5e25c, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=39, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@22c9d2bd, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=38, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@9b22a309, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=37, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@5dd806a2, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=36, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@4236052a, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=35, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@2a692c7b, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=34, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@a32641fc, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=33, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@3aab025b, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=32, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@125367ff, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=31, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@9bb2b3b8, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=10, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@2984abb2, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=9, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@1ac24f20, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=8, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@46a23cba, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=7, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@4a3f0cb6, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=6, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@9e1a85f5, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=5, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@a4247832, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=4, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@e81759e4, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=3, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@83b7e389, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=2, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@8e44a945, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=1, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@90f72a0a, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=40, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@5fe2e1a6, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=39, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@9dcaf8be, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=38, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@544f1534, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=37, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@e378ae99, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=36, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@e741c752, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=35, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@d8fdc43d, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=34, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@f21a869d, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=33, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@20e5d911, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=32, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@939477fd, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=31, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@587ebd3f, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=10, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@bd1c2f26, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=9, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@eef0bf5b, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=8, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@6737a62, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=7, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@bc978f52, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=6, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@71f15759, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=5, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@5529e4a0, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=4, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@8cc7cac9, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=3, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@46614938, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=2, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@4ab738fd, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=1, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@daf06103, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=40, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@6966a56f, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=39, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@e4a9d5e5, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=38, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@c8333451, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=37, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@1b3f1a1c, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=36, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@b1a7cb82, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=35, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@c684dce, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=34, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@f927ddd0, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=33, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@8ccfd83b, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=32, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@b6175ba3, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=31, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@537305f6, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=10, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@4b199e86, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=9, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@bf558e92, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=8, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@15a432e4, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=7, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@157bc60e, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=6, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@917811cf, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=5, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@3c3d84ed, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=4, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@991d0d55, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=3, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@c1977855, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=2, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@bd3a6cfa, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=1, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@e8a948be, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=40, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@e124de05, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=39, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@44da44d0, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=38, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@9b5d8f9f, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=37, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@a33f5a1d, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=36, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@56feedde, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=35, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@9fac5307, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=34, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@71ac2408, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=33, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@7b865860, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=32, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@177ccda7, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=31, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@af712d76, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=10, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@a5630795, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=9, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@f1e6f939, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=8, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@eceecc36, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=7, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@c6eef858, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=6, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@32fcaa46, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=5, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@8a9a1814, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=4, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@6292656e, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=3, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@3be702cd, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=2, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@fe86b108, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=1, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@3ab7913c, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=40, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@95c06dbc, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=39, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@669d6db2, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=38, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@7ace9161, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=37, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@da9a995b, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=36, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@780ed216, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=35, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@2a584040, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=34, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@4c95badc, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=33, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@58cb3498, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=32, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@c6fba222, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=31, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@46500de5, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=10, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@191b443e, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=9, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@1983bff7, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=8, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@3a51d49d, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=7, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@7d9ae82e, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=6, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@d89c8d76, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=5, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@b9be2d70, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=4, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@5bf3a9ab, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=3, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@376ac046, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=2, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@d90df1a8, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=1, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@f17263bc, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=40, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@7490c260, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=39, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@71c288d9, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=38, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@a7fddae5, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=37, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@fd59e511, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=36, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@2cb069b8, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=35, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@1403ffbe, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=34, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@57adff8a, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=33, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@7fec6180, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=32, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@5ca81b8e, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=31, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@99bcef8b, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=10, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@8bf2db79, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=9, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@4d4461bd, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=8, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@f88403f, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=7, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@1d4521dd, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=6, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@ba50cb10, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=5, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@4bcebc6f, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=4, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@37a416ba, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=3, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@8dd3b190, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=2, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@15c9521a, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=1, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@f37fa376, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=40, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@fe97c770, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=39, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@a615cb1, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=38, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@8586e8cc, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=37, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@845d8d28, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=36, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@5df5049b, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=35, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@acc18dd6, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=34, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@2c37fedd, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=33, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@5d7c34ce, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=32, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@cf587ce1, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=31, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@84abf4e6, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=10, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@6769a18e, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=9, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@7335f43c, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=8, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@e6a75e3c, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=7, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@54adaf3d, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=6, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@68b7f8cb, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=5, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@b18c6eaf, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=4, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@daefbe88, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=3, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@97f237b2, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=2, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@c2b30949, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=1, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@9cb99107, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=40, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@edef4557, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
ApiRequestVO(id=39, productVO=io.springbatch.springbatchlecture.batch.domain.ProductVO@fafe5e14, apiResponseVO=ApiResponseVO(status=200, msg=product1 was successfully processed))
